Confidence	NN	B-NP	O
in	IN	B-PP	O
the	DT	B-NP	B-NP
pound	NN	I-NP	I-NP
is	VBZ	B-VP	O
widely	RB	I-VP	O
expected	VBN	I-VP	O
to	TO	I-VP	O
take	VB	I-VP	O
another	DT	B-NP	O
sharp	JJ	I-NP	O
dive	NN	I-NP	O
if	IN	B-SBAR	O
trade	NN	B-NP	O
figures	NNS	I-NP	O
for	IN	B-PP	O
September	NNP	B-NP	B-NP
,	,	O	O
due	JJ	B-ADJP	O
for	IN	B-PP	O
release	NN	B-NP	O
tomorrow	NN	B-NP	O
,	,	O	O
fail	VB	B-VP	O
to	TO	I-VP	O
show	VB	I-VP	O
a	DT	B-NP	O
substantial	JJ	I-NP	O
improvement	NN	I-NP	O
from	IN	B-PP	O
July	NNP	B-NP	B-NP
and	CC	I-NP	O
August	NNP	I-NP	B-NP
's	POS	B-NP	O
near-record	JJ	I-NP	O
deficits	NNS	I-NP	O
.	.	O	O
Chancellor	NNP	O	B-NP
of	IN	B-PP	O
the	DT	B-NP	O
Exchequer	NNP	I-NP	B-NP
Nigel	NNP	B-NP	I-NP
Lawson	NNP	I-NP	I-NP
's	POS	B-NP	O
restated	VBN	I-NP	O
commitment	NN	I-NP	O
to	TO	B-PP	O
a	DT	B-NP	B-NP
firm	NN	I-NP	I-NP
monetary	JJ	I-NP	O
policy	NN	I-NP	O
has	VBZ	B-VP	O
helped	VBN	I-VP	O
to	TO	I-VP	O
prevent	VB	I-VP	O
a	DT	B-NP	B-NP
freefall	NN	I-NP	I-NP
in	IN	B-PP	O
sterling	NN	B-NP	O
over	IN	B-PP	O
the	DT	B-NP	O
past	JJ	I-NP	O
week	NN	I-NP	O
.	.	O	O
But	CC	O	O
analysts	NNS	B-NP	O
reckon	VBP	B-VP	O
underlying	VBG	B-NP	O
support	NN	I-NP	O
for	IN	B-PP	O
sterling	NN	B-NP	O
has	VBZ	B-VP	O
been	VBN	I-VP	O
eroded	VBN	I-VP	O
by	IN	B-PP	O
the	DT	B-NP	B-NP
chancellor	NN	I-NP	I-NP
's	POS	B-NP	O
failure	NN	I-NP	O
to	TO	B-VP	O
announce	VB	I-VP	O
any	DT	B-NP	O
new	JJ	I-NP	O
policy	NN	I-NP	O
measures	NNS	I-NP	O
in	IN	B-PP	O
his	PRP$	B-NP	O
Mansion	NNP	I-NP	B-NP
