
Jindo	NNP	B-NP
Furs	NNP	I-NP
,	,	O
a	DT	B-NP
large	JJ	I-NP
South	JJ	I-NP
Korean	JJ	I-NP
maker	NN	I-NP
,	,	O
says	VBZ	B-VP
it	PRP	B-NP
operates	VBZ	B-VP
35	CD	B-NP
retail	JJ	I-NP
outlets	NNS	I-NP
in	IN	B-PP
the	DT	B-NP
U.S.	NNP	I-NP
and	CC	O
plans	NNS	B-VP
to	TO	I-VP
open	VB	I-VP
15	CD	B-NP
more	JJR	I-NP
by	IN	B-PP
the	DT	B-NP
end	NN	I-NP
of	IN	B-PP
next	JJ	B-NP
year	NN	I-NP
.	.	O

Mr.	NNP	B-NP
Purnick	NNP	I-NP
and	CC	O
other	JJ	B-NP
old-line	JJ	I-NP
furriers	NNS	I-NP
call	VBP	B-VP
many	NN	B-NP
of	IN	B-PP
the	DT	B-NP
the	DT	I-NP
imports	NNS	I-NP
unstylish	JJ	B-ADJP
and	CC	O
poorly	RB	B-ADJP
made	VBN	I-ADJP
.	.	O

High-end	JJ	B-NP
U.S.	NNP	I-NP
furriers	NNS	I-NP
say	VBP	B-VP
these	DT	B-NP
imports	NNS	I-NP
have	VBP	B-VP
n't	RB	I-VP
squeezed	VBN	I-VP
them	PRP	B-NP
.	.	O

But	CC	O
low-priced	JJ	B-NP
and	CC	I-NP
middle-priced	JJ	I-NP
furriers	NNS	I-NP
like	IN	B-PP
Mr.	NNP	B-NP
Purnick	NNP	I-NP
,	,	O
who	WP	B-NP
once	RB	B-ADVP
saturated	VBN	B-VP
the	DT	B-NP
five-block	JJ	I-NP
Seventh	NNP	I-NP
Avenue	NNP	I-NP
fur	NN	I-NP
district	NN	I-NP
,	,	O
say	VBP	B-VP
imports	NNS	B-NP
have	VBP	B-VP
cut	VBN	I-VP
their	PRP$	B-NP
sales	NNS	I-NP
.	.	O

A	DT	B-NP
woman	NN	I-NP
who	WP	B-NP
once	RB	B-ADVP
would	MD	B-VP
have	VB	I-VP
saved	VBN	I-VP
for	IN	B-PP
two	CD	B-NP
or	CC	I-NP
three	CD	I-NP
seasons	NNS	I-NP
to	TO	B-VP
buy	VB	I-VP
a	DT	B-NP
U.S.-made	JJ	I-NP
mink	NN	I-NP
can	MD	B-VP
now	RB	I-VP
get	VB	I-VP
an	DT	B-NP
imported	VBN	I-NP
mink	NN	I-NP
right	RB	B-ADVP
away	RB	I-ADVP
for	IN	B-PP
less	JJR	B-NP
than	IN	I-NP
$	$	I-NP
2,000	CD	I-NP
.	.	O

Yet	RB	O
Mr.	NNP	B-NP
Rosen	NNP	I-NP
has	VBZ	B-VP
turned	VBN	I-VP
the	DT	B-NP
import	NN	I-NP
phenomenon	NN	I-NP
to	TO	B-PP
his	PRP$	B-NP
advantage	NN	I-NP
.	.	O

Early	RB	B-ADVP
in	IN	B-PP
the	DT	B-NP
decade	NN	I-NP
he	PRP	B-NP
saw	VBD	B-VP
that	IN	B-SBAR
fur	NN	B-NP
workers	NNS	I-NP
in	IN	B-PP
many	JJ	B-NP
foreign	JJ	I-NP
countries	NNS	I-NP
were	VBD	B-VP
willing	JJ	B-ADJP
to	TO	B-VP
work	VB	I-VP
longer	RB	B-NP
hours	VBZ	I-NP
at	IN	B-PP
lower	JJR	B-NP
wages	NNS	I-NP
than	IN	B-PP
their	PRP$	B-NP
American	JJ	I-NP
counterparts	NNS	I-NP
and	CC	O
were	VBD	B-VP
more	RBR	B-ADJP
open	JJ	I-ADJP
to	TO	B-PP
innovation	NN	B-NP
.	.	O

In	IN	B-PP
1982	CD	B-NP
,	,	O
he	PRP	B-NP
started	VBD	B-VP
a	DT	B-NP
factory	NN	I-NP
in	IN	B-PP
Greece	NNP	B-NP
.	.	O

Two	CD	B-NP
years	NNS	I-NP
later	RB	B-ADVP
,	,	O
he	PRP	B-NP
opened	VBD	B-VP
one	CD	B-NP
in	IN	B-PP
West	NNP	B-NP
Germany	NNP	I-NP
.	.	O

He	PRP	B-NP
also	RB	B-ADVP
noticed	VBD	B-VP
that	IN	B-SBAR
foreign	JJ	B-NP
makers	NNS	I-NP
were	VBD	B-VP
introducing	VBG	I-VP
many	JJ	B-NP
variations	NNS	I-NP
on	IN	B-PP
the	DT	B-NP
traditional	JJ	I-NP
fur	NN	I-NP
,	,	O
and	CC	O
he	PRP	B-NP
decided	VBD	B-VP
to	TO	I-VP
follow	VB	I-VP
suit	NN	B-NP
.	.	O

By	IN	B-PP
combining	VBG	B-VP
his	PRP$	B-NP
strengths	NNS	I-NP
in	IN	B-PP
innovation	NN	B-NP
and	CC	O
quality	NN	B-NP
control	NN	I-NP
with	IN	B-PP
the	DT	B-NP
lower	JJR	I-NP
costs	NNS	I-NP
of	IN	B-PP
production	NN	B-NP
abroad	RB	I-NP
,	,	O
he	PRP	B-NP
says	VBZ	B-VP
he	PRP	B-NP
has	VBZ	B-VP
been	VBN	I-VP
able	JJ	B-ADJP
to	TO	B-VP
produce	VB	I-VP
high-quality	JJ	B-NP
goods	NNS	I-NP
at	IN	B-PP
low	JJ	B-NP
cost	NN	I-NP
.	.	O

To	TO	B-VP
maintain	VB	I-VP
control	NN	B-NP
over	IN	B-PP
production	NN	B-NP
and	CC	O
avoid	VB	B-VP
overdependence	NN	B-NP
on	IN	B-PP
foreign	JJ	B-NP
sources	NNS	I-NP
,	,	O
he	PRP	B-NP
says	VBZ	B-VP
he	PRP	B-NP
still	RB	B-ADVP
makes	VBZ	B-VP
most	RBS	B-NP
of	IN	B-PP
his	PRP$	B-NP
furs	NNS	I-NP
in	IN	B-PP
the	DT	B-NP
U.S.	NNP	I-NP
.	.	O

But	CC	O
six	CD	B-NP
years	NNS	I-NP
ago	RB	B-ADVP
he	PRP	B-NP
also	RB	B-ADVP
began	VBD	B-VP
importing	VBG	I-VP
from	IN	B-PP
the	DT	B-NP
Far	NNP	I-NP
East	NNP	I-NP
.	.	O

Inspired	VBN	B-VP
by	IN	B-PP
imports	NNS	B-NP
,	,	O
Mr.	NNP	B-NP
Rosen	NNP	I-NP
now	RB	B-ADVP
makes	VBZ	B-VP
fur	NN	B-NP
muffs	NNS	I-NP
,	,	I-NP
hats	NNS	I-NP
and	CC	I-NP
flings	NNS	I-NP
.	.	O

This	DT	B-NP
year	NN	I-NP
he	PRP	B-NP
produced	VBD	B-VP
a	DT	B-NP
men	NNS	I-NP
's	POS	B-NP
line	NN	I-NP
and	CC	O
offers	VBZ	B-VP
dyed	VBN	B-NP
furs	NNS	I-NP
in	IN	B-PP
red	JJ	B-NP
,	,	O
cherry	JJ	B-NP
red	NN	I-NP
,	,	O
violet	NN	B-NP
,	,	O
royal	JJ	B-NP
blue	NN	I-NP
and	CC	O
forest	NN	B-NP
green	JJ	I-NP
.	.	O

He	PRP	B-NP
has	VBZ	B-VP
leather	NN	B-NP
jackets	NNS	I-NP
from	IN	B-PP
Turkey	NNP	B-NP
that	WDT	B-NP
are	VBP	B-VP
lined	VBN	I-VP
with	IN	B-PP
